# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Mar 16 04:36:32 2025
#
# COLUMN kepid:          KepID
# COLUMN koi_name:       KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN pl_name:        Confirmed Name
#
rowid,kepid,koi_name,kepler_name,pl_name
1,11446443,K00001.01,Kepler-1 b,TrES-2 b
2,11904151,K00072.01,Kepler-10 b,Kepler-10 b
3,11904151,K00072.02,Kepler-10 c,Kepler-10 c
4,11904151,,Kepler-10 d,Kepler-10 d
5,6521045,K00041.02,Kepler-100 b,Kepler-100 b
6,6521045,K00041.01,Kepler-100 c,Kepler-100 c
7,6521045,K00041.03,Kepler-100 d,Kepler-100 d
8,6521045,,Kepler-100 e,Kepler-100 e
9,10063802,K01888.01,Kepler-1000 b,Kepler-1000 b
10,11074178,K01889.01,Kepler-1001 b,Kepler-1001 b
11,11074178,K01889.02,Kepler-1001 c,Kepler-1001 c
12,7449136,K01890.01,Kepler-1002 b,Kepler-1002 b
13,8689793,K01893.01,Kepler-1003 b,Kepler-1003 b
14,11673802,K01894.01,Kepler-1004 b,Kepler-1004 b
15,7668663,K01898.01,Kepler-1005 b,Kepler-1005 b
16,7047922,K01899.01,Kepler-1006 b,Kepler-1006 b
17,9353314,K01900.01,Kepler-1007 b,Kepler-1007 b
18,8766650,K01904.01,Kepler-1008 b,Kepler-1008 b
19,7094486,K01907.01,Kepler-1009 b,Kepler-1009 b
20,10905239,K00046.01,Kepler-101 b,Kepler-101 b
21,10905239,K00046.02,Kepler-101 c,Kepler-101 c
22,8226050,K01910.01,Kepler-1010 b,Kepler-1010 b
23,9965957,K01911.01,Kepler-1011 b,Kepler-1011 b
24,9704384,K01913.01,Kepler-1012 b,Kepler-1012 b
25,8426567,K01914.01,Kepler-1013 b,Kepler-1013 b
26,8218379,K01920.01,Kepler-1014 b,Kepler-1014 b
27,7755636,K01921.01,Kepler-1015 b,Kepler-1015 b
28,9411166,K01922.01,Kepler-1016 b,Kepler-1016 b
29,9411166,K01922.03,Kepler-1016 c,Kepler-1016 c
30,4989057,K01923.01,Kepler-1017 b,Kepler-1017 b
31,9072190,K01933.01,Kepler-1018 b,Kepler-1018 b
32,10190777,K01937.01,Kepler-1019 b,Kepler-1019 b
33,10187017,K00082.05,Kepler-102 b,Kepler-102 b
34,10187017,K00082.04,Kepler-102 c,Kepler-102 c
35,10187017,K00082.02,Kepler-102 d,Kepler-102 d
36,10187017,K00082.01,Kepler-102 e,Kepler-102 e
37,10187017,K00082.03,Kepler-102 f,Kepler-102 f
38,9651234,K01938.01,Kepler-1020 b,Kepler-1020 b
39,7045496,K01939.01,Kepler-1021 b,Kepler-1021 b
40,10005788,K01940.01,Kepler-1022 b,Kepler-1022 b
41,11656918,K01945.01,Kepler-1023 b,Kepler-1023 b
42,3118797,K01950.01,Kepler-1024 b,Kepler-1024 b
43,8081187,K01951.01,Kepler-1025 b,Kepler-1025 b
44,4813563,K01959.01,Kepler-1026 b,Kepler-1026 b
45,7269493,K01961.01,Kepler-1027 b,Kepler-1027 b
46,11657891,K01965.01,Kepler-1028 b,Kepler-1028 b
47,6205897,K01967.01,Kepler-1029 b,Kepler-1029 b
48,4914423,K00108.01,Kepler-103 b,Kepler-103 b
49,4914423,K00108.02,Kepler-103 c,Kepler-103 c
50,9347009,K01971.01,Kepler-1030 b,Kepler-1030 b
51,11253711,K01972.02,Kepler-1031 b,Kepler-1031 b
52,4917596,K01973.01,Kepler-1032 b,Kepler-1032 b
53,8543100,K01975.01,Kepler-1033 b,Kepler-1033 b
54,2693736,K01976.01,Kepler-1034 b,Kepler-1034 b
55,7273277,K01979.01,Kepler-1035 b,Kepler-1035 b
56,11769890,K01980.01,Kepler-1036 b,Kepler-1036 b
57,10153855,K01981.01,Kepler-1037 b,Kepler-1037 b
58,8257205,K01986.01,Kepler-1038 b,Kepler-1038 b
59,8257205,K01986.02,Kepler-1038 c,Kepler-1038 c
