# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Mar 23 03:48:28 2025
#
# COLUMN epic_id:        EPIC ID
# COLUMN k2_name:        K2 Name
# COLUMN pl_name:        Default Name
#
rowid,epic_id,k2_name,pl_name
1,EPIC 60017806,K2-1 b,WASP-28 b
2,EPIC 201577035,K2-10 b,K2-10 b
3,EPIC 211990866,K2-100 b,K2-100 b
4,EPIC 211913977,K2-101 b,K2-101 b
5,EPIC 211970147,K2-102 b,K2-102 b
6,EPIC 211822797,K2-103 b,EPIC 211822797 b
7,EPIC 211969807,K2-104 b,K2-104 b
8,EPIC 211525389,K2-105 b,K2-105 b
9,EPIC 220674823,K2-106 b,EPIC 220674823 b
10,EPIC 220674823,K2-106 c,EPIC 220674823 c
11,EPIC 216468514,K2-107 b,K2-107 b
12,EPIC 211736671,K2-108 b,K2-108 b
13,EPIC 201437844,K2-109 b,HD 106315 b
14,EPIC 201437844,K2-109 c,HD 106315 c
15,EPIC 201596316,K2-11 b,K2-11 b
16,EPIC 212521166,K2-110 b,K2-110 b
17,EPIC 210894022,K2-111 b,K2-111 b
18,EPIC 210894022,K2-111 c,K2-111 c
19,EPIC 246199087,K2-112 b,TRAPPIST-1 b
20,EPIC 246199087,K2-112 c,TRAPPIST-1 c
21,EPIC 246199087,K2-112 d,TRAPPIST-1 d
22,EPIC 246199087,K2-112 e,TRAPPIST-1 e
23,EPIC 246199087,K2-112 f,TRAPPIST-1 f
24,EPIC 246199087,K2-112 g,TRAPPIST-1 g
25,EPIC 246199087,K2-112 h,TRAPPIST-1 h
26,EPIC 220504338,K2-113 b,K2-113 b
27,EPIC 211418729,K2-114 b,K2-114 b
28,EPIC 211442297,K2-115 b,K2-115 b
29,EPIC 206119924,K2-116 b,K2-116 b
30,EPIC 211331236,K2-117 b,K2-117 b
31,EPIC 211331236,K2-117 c,K2-117 c
32,EPIC 211680698,K2-118 b,K2-118 b
33,EPIC 211770795,K2-119 b,K2-119 b
34,EPIC 201613023,K2-12 b,K2-12 b
35,EPIC 211818569,K2-121 b,K2-121 b
36,EPIC 212006344,K2-122 b,K2-122 b
37,EPIC 212069861,K2-123 b,K2-123 b
38,EPIC 212154564,K2-124 b,K2-124 b
39,EPIC 212398486,K2-125 b,K2-125 b
40,EPIC 212460519,K2-126 b,K2-126 b
41,EPIC 212554013,K2-127 b,K2-127 b
42,EPIC 212686205,K2-128 b,K2-128 b
43,EPIC 214787262,K2-129 b,K2-129 b
44,EPIC 201629650,K2-13 b,K2-13 b
45,EPIC 217941732,K2-130 b,K2-130 b
46,EPIC 228732031,K2-131 b,K2-131 b
47,EPIC 228754001,K2-132 b,K2-132 b
48,EPIC 247887989,K2-133 b,K2-133 b
49,EPIC 247887989,K2-133 c,K2-133 c
50,EPIC 247887989,K2-133 d,K2-133 d
51,EPIC 247887989,K2-133 e,K2-133 e
52,EPIC 246441449,K2-134 b,WASP-151 b
53,EPIC 246389858,K2-135 b,GJ 9827 b
54,EPIC 246389858,K2-135 c,GJ 9827 c
55,EPIC 246389858,K2-135 d,GJ 9827 d
56,EPIC 247589423,K2-136 b,K2-136 b
57,EPIC 247589423,K2-136 c,K2-136 c
58,EPIC 247589423,K2-136 d,K2-136 d
59,EPIC 228813918,K2-137 b,K2-137 b
60,EPIC 245950175,K2-138 b,K2-138 b
61,EPIC 245950175,K2-138 c,K2-138 c
62,EPIC 245950175,K2-138 d,K2-138 d
63,EPIC 245950175,K2-138 e,K2-138 e
64,EPIC 245950175,K2-138 f,K2-138 f
65,EPIC 245950175,K2-138 g,K2-138 g
66,EPIC 218916923,K2-139 b,K2-139 b
67,EPIC 201635569,K2-14 b,K2-14 b
68,EPIC 228735255,K2-140 b,K2-140 b
69,EPIC 246393474,K2-141 b,K2-141 b
