id,period,duration,depth,steff,srad,slogg,model_snr,ra,dec,disposition,source
1000.01,2.1713484,2.0172196,656.8860989,10249.0,2.16986,4.19,3127.2040524,112.357708,-12.69596,FALSE POSITIVE,tess
10000162,409.38645,13.78,531.5,4955.0,0.799,4.517,10.3,286.33545,46.917831,CANDIDATE,kepler
10000490,1.400991827,4.8798,64104.0,6706.0,1.924,4.026,669.6,286.556,46.95734,FALSE POSITIVE,kepler
10000941,2.5738437,1.92,46.6,5115.0,0.854,4.477,10.9,286.81937,46.91169,CANDIDATE,kepler
10000941,3.50472344,1.9464,90.7,5115.0,0.854,4.477,18.4,286.81937,46.91169,CONFIRMED,kepler
10001368,4.76831033,3.2363,251.8,6237.0,1.116,4.374,35.4,287.0863,46.945808,CONFIRMED,kepler
10002049,19.2532128,1.674,219.3,6060.0,0.953,4.495,7.4,287.46475,46.96841,CANDIDATE,kepler
10002261,12.713794177,2.44093,36719.0,2661.0,0.116,5.283,2981.3,287.55972,46.957085,FALSE POSITIVE,kepler
10002266,12.71368909,1.875,192.2,5715.0,0.782,4.586,9.8,287.56247,46.95116,FALSE POSITIVE,kepler
10002866,3.936993144,1.887,1266.0,5431.0,0.843,4.563,59.3,287.9061,46.937771,CONFIRMED,kepler
10002866,10.08881066,1.7726,1995.9,5431.0,0.843,4.563,51.4,287.9061,46.937771,CONFIRMED,kepler
10002866,28.08185982,4.5288,1840.3,5431.0,0.843,4.563,50.8,287.9061,46.937771,CONFIRMED,kepler
10003058,148.568877,4.399,404.4,5814.0,2.985,3.68,11.6,288.01013,46.978519,CANDIDATE,kepler
10004515,25.26363805,2.72,,,,,,288.73169,46.943699,FALSE POSITIVE,kepler
10004519,9.80321143,4.4617,813.4,6170.0,0.992,4.472,53.1,288.73407,46.939388,CONFIRMED,kepler
10004738,13.93068791,2.312,186.5,5497.0,0.839,4.57,14.9,288.83936,46.98674,CONFIRMED,kepler
10004738,56.4758069,5.961,1091.8,5497.0,0.839,4.57,70.0,288.83936,46.98674,CONFIRMED,kepler
10004738,92.8747294,7.474,658.8,5497.0,0.839,4.57,37.9,288.83936,46.98674,CONFIRMED,kepler
10004772,1.391716834,1.421,41.0,3749.0,59.684,0.833,9.7,288.85568,46.997261,FALSE POSITIVE,kepler
10005020,6.97106919,3.9125,452.8,5871.0,0.983,4.493,41.7,288.98038,46.95406,FALSE POSITIVE,kepler
10005758,134.4785189,5.9288,4033.5,5791.0,1.336,4.185,149.9,289.34143,46.988239,CONFIRMED,kepler
10005758,284.063137,8.297,1628.1,5791.0,1.336,4.185,53.5,289.34143,46.988239,CONFIRMED,kepler
10005788,6.73679732,2.36,,,,,,289.35202,46.973728,CANDIDATE,kepler
10005788,10.99470891,1.5929,884.7,4302.0,0.586,4.661,32.7,289.35202,46.973728,CONFIRMED,kepler
10006096,70.516233809,4.09296,330180.0,5511.0,0.789,4.531,3168.8,289.49918,46.92865,FALSE POSITIVE,kepler
10006581,40.1097817,5.2096,732.0,5509.0,1.169,4.265,40.3,289.73169,46.953819,CONFIRMED,kepler
10006641,0.894172544,0.8302,86.2,4982.0,0.736,4.591,16.9,289.75653,46.952888,FALSE POSITIVE,kepler
10007492,2.645596805,2.9095,1272.7,4980.0,5.443,3.167,166.8,290.08661,46.945202,FALSE POSITIVE,kepler
10007916,388.67155,11.701,371.3,5354.0,0.788,4.587,10.1,290.23773,46.980042,CANDIDATE,kepler
1001.01,1.9316462,3.166,1286.0,7070.0,2.01,4.03,4045.0,122.580465,-5.513852,CANDIDATE,tess
10010440,53.5991459,6.811,523.1,6319.0,1.032,4.447,23.1,291.28207,46.965988,CONFIRMED,kepler
10010452,358.74318,19.76,760.5,5482.0,0.826,4.566,15.9,291.28595,46.920551,FALSE POSITIVE,kepler
10011213,376.37989,13.99,1140.0,6231.0,0.955,4.488,13.3,291.60455,46.973289,CANDIDATE,kepler
10014702,1.34062901,3.076,69.5,6045.0,0.955,4.494,13.1,293.12991,46.921768,FALSE POSITIVE,kepler
10014875,453.64875,18.34,523.4,6060.0,0.925,4.509,9.0,293.19342,46.91655,FALSE POSITIVE,kepler
10015516,67.69213907,51.349,25457.0,5355.0,10.703,2.754,1328.2,293.47363,46.970402,FALSE POSITIVE,kepler
10015937,59.6585348,5.514,1043.8,5243.0,0.831,4.547,21.2,293.64417,46.989761,CONFIRMED,kepler
10016874,16.30141333,3.5764,942.3,6072.0,1.138,4.328,62.4,294.02298,46.99955,CANDIDATE,kepler
10018233,16.2959916,2.116,369.6,5495.0,0.961,4.442,15.7,294.47833,46.945862,CONFIRMED,kepler
10018364,105.6327297,2.73,,,,,,294.52576,46.994301,FALSE POSITIVE,kepler
10019065,52.6298542,6.118,675.8,5339.0,1.433,4.096,27.2,294.78915,46.98399,CONFIRMED,kepler
10019399,11.805707539,2.0494,2052.1,6065.0,1.891,3.888,124.9,294.91611,46.944977,FALSE POSITIVE,kepler
10019643,7.81100952,3.231,126.7,5395.0,1.071,4.324,15.8,295.00281,46.987331,CONFIRMED,kepler
10019643,21.34736612,4.184,630.5,5395.0,1.071,4.324,53.1,295.00281,46.987331,CONFIRMED,kepler
10019708,3.268695042,3.45188,10091.0,5927.0,1.691,4.046,1429.9,295.02567,46.956001,CONFIRMED,kepler
10019708,8.78458274,6.459,210.8,5927.0,1.691,4.046,25.9,295.02567,46.956001,FALSE POSITIVE,kepler
10019763,32.50456309,2.4657,7589.6,6132.0,0.947,4.479,148.1,295.04639,46.97459,FALSE POSITIVE,kepler
10019854,14.1011023,4.513,108.2,6534.0,1.199,4.365,8.1,295.08221,46.941711,CANDIDATE,kepler
1002.01,1.8675574,1.408,1500.0,8924.0,5.73,,2037.0,104.726966,-10.580455,FALSE POSITIVE,tess
10020423,7.448375935,4.23892,152670.0,5636.0,0.867,4.489,1837.9,295.29791,46.920471,FALSE POSITIVE,kepler
10022908,6.99130452,2.1568,555.4,4847.0,0.761,4.606,36.3,296.17728,46.99902,CONFIRMED,kepler
10023069,266.977677,8.59,389.6,6619.0,3.41,3.595,16.0,296.23184,46.909012,FALSE POSITIVE,kepler
10023469,44.637111,5.868,282.5,5222.0,0.78,4.518,9.4,296.36893,46.957821,FALSE POSITIVE,kepler
10024051,0.577369336,1.0852,400.4,5255.0,0.716,4.617,68.3,296.55307,46.96629,CONFIRMED,kepler
10024701,14.37504582,3.208,251.1,5931.0,1.053,4.403,15.7,296.75574,46.998291,CONFIRMED,kepler
10026136,9.080194398,8.18777,324570.0,6461.0,1.131,4.396,3481.8,297.17203,46.953949,FALSE POSITIVE,kepler
10026457,9.93442075,7.8219,55965.0,5382.0,0.669,4.654,529.0,297.25931,46.989681,FALSE POSITIVE,kepler
10026458,9.93443795,8.098,2750.0,5763.0,0.998,4.484,92.8,297.25943,46.987629,FALSE POSITIVE,kepler
10026502,101.952048,5.991,152.5,6210.0,1.054,4.407,10.3,297.27087,46.928421,CONFIRMED,kepler
10026544,176.331289,13.89,109.8,6146.0,2.251,3.8,8.4,297.28317,46.90453,CANDIDATE,kepler
10027247,86.829519,7.464,751.0,3576.0,0.463,4.791,15.1,297.48669,46.996712,CONFIRMED,kepler
10027323,5.92365747,2.6302,406.5,3883.0,0.496,4.762,26.4,297.50986,46.961262,CONFIRMED,kepler
10027323,105.3582299,3.81,1210.2,3883.0,0.496,4.762,22.6,297.50986,46.961262,CONFIRMED,kepler
10027861,102.493119,2.814,636.1,5166.0,0.791,4.583,8.3,297.66437,46.94482,CANDIDATE,kepler
10028127,367.947848,4.249,1301.0,5570.0,0.855,4.561,10.7,297.73398,46.961529,CANDIDATE,kepler
10028140,19.65639342,3.226,843.2,5288.0,0.74,4.613,25.5,297.73984,46.94191,CONFIRMED,kepler
10028352,1.38680229,1.7065,242.3,6823.0,2.037,4.04,84.4,297.79224,46.935829,CANDIDATE,kepler
10028352,1.75147897,7.89,76.7,6823.0,2.037,4.04,68.2,297.79224,46.935829,FALSE POSITIVE,kepler
10028535,0.663085361,1.1522,322.7,5172.0,0.767,4.6,35.3,297.84149,46.967682,CONFIRMED,kepler
10028792,5.83393857,4.5813,134.4,5597.0,1.699,3.963,17.6,297.91687,46.96513,CANDIDATE,kepler
10028792,8.9772888,4.72,97.5,5597.0,1.699,3.963,10.3,297.91687,46.96513,CANDIDATE,kepler
10028792,114.73658,12.0355,4850.0,5597.0,1.699,3.963,230.6,297.91687,46.96513,CONFIRMED,kepler
10028792,191.239133,16.942,1061.2,5597.0,1.699,3.963,36.8,297.91687,46.96513,CONFIRMED,kepler
1003.01,2.74323,3.167,383.41,5388.5,,4.15,1631.0,110.559945,-25.207017,FALSE POSITIVE,tess
10030778,29.47316279,6.4327,12568.0,5838.0,0.897,4.529,179.3,298.50607,46.948029,FALSE POSITIVE,kepler
10031409,2.071939672,4.45367,198770.0,6140.0,1.254,4.247,2409.8,298.68484,46.94997,FALSE POSITIVE,kepler
10031500,8.589562,9.885,245.4,5766.0,0.945,4.404,14.0,298.71362,46.903118,FALSE POSITIVE,kepler
10031526,8.5893644,6.975,179.3,5602.0,0.817,4.571,9.8,298.72095,46.933891,FALSE POSITIVE,kepler
10031643,8.5898708,4.806,87.7,5638.0,1.088,4.296,8.4,298.74921,46.973351,FALSE POSITIVE,kepler
10031656,8.59000355,6.68,298.1,5817.0,0.876,4.538,18.9,298.75491,46.941589,FALSE POSITIVE,kepler
10031707,8.58966893,6.962,429.6,3837.0,80.307,0.829,47.5,298.77295,46.921246,FALSE POSITIVE,kepler
10031808,8.589644815,9.49469,269520.0,6331.0,2.194,3.813,5324.6,298.79758,46.930244,FALSE POSITIVE,kepler
10031885,8.58969597,8.471,245.1,6024.0,0.9,4.523,45.9,298.81821,46.94035,FALSE POSITIVE,kepler
10031907,8.58965725,8.9793,1161.5,5697.0,0.892,4.539,107.8,298.82263,46.939129,FALSE POSITIVE,kepler
10031918,8.5900471,3.463,137.0,4914.0,0.707,4.575,9.6,298.82587,46.956669,FALSE POSITIVE,kepler
10033279,72.4914068,3.612,1063.5,5754.0,2.758,3.639,39.2,299.2475,46.951908,FALSE POSITIVE,kepler
10034146,0.93198504,2.0472,326.6,5470.0,0.777,4.509,44.5,299.52527,46.917549,FALSE POSITIVE,kepler
1004.01,3.5730141,3.37,755.0,9219.0,2.15,4.14,4260.0,122.178195,-48.802811,FALSE POSITIVE,tess
1005.01,4.55072,2.599,3620.0,5613.0,1.09,,1112.0,120.704811,-11.101521,FALSE POSITIVE,tess
10053138,11.7728146,4.132,77.1,5410.0,1.056,4.333,9.9,280.71948,47.07222,CANDIDATE,kepler
10055126,9.17617167,4.2642,206.9,5903.0,1.156,4.3,34.3,282.06128,47.085491,CONFIRMED,kepler
10055126,19.7383992,4.894,168.1,5903.0,1.156,4.3,20.3,282.06128,47.085491,CONFIRMED,kepler
10055126,232.040326,12.235,290.8,5903.0,1.156,4.3,15.2,282.06128,47.085491,CONFIRMED,kepler
10057494,2.41810158,2.144,46.8,6258.0,1.239,4.307,13.4,283.43576,47.06686,CONFIRMED,kepler
10059645,6.49441464,2.344,357.3,4769.0,0.742,4.557,17.7,284.58578,47.079529,CONFIRMED,kepler
1006.01,2.5047918,4.3797563,2270.5402194,6616.0,1.53429,,1649.8220699,124.359239,-27.273521,FALSE POSITIVE,tess
10063044,1.009671584,4.37759,155120.0,7652.0,2.242,3.974,1440.7,286.29077,47.076221,FALSE POSITIVE,kepler
10063208,9.3281912,3.991,45.2,5525.0,0.888,4.514,13.7,286.38693,47.016628,CONFIRMED,kepler
10063802,120.0183551,11.637,886.0,6469.0,1.467,4.253,46.1,286.68552,47.098221,CONFIRMED,kepler
10064256,5.95958637,2.899,133.1,5452.0,0.9,4.535,16.1,286.92429,47.053741,CONFIRMED,kepler
10064591,284.94212784,3.2,,,,,,287.09412,47.075359,CANDIDATE,kepler
10065053,409.87844,10.58,647.1,6167.0,1.064,4.444,8.7,287.34897,47.060982,CANDIDATE,kepler
10066755,2.46506501,6.218,39.8,6881.0,1.714,4.101,10.3,288.21976,47.041279,CANDIDATE,kepler
10068024,2.023126394,1.2771,72.2,6349.0,1.059,4.422,19.2,288.84711,47.022911,FALSE POSITIVE,kepler
10068030,2.023123903,1.1829,1288.9,5559.0,0.803,4.578,76.0,288.84903,47.021969,FALSE POSITIVE,kepler
10068383,7.30497811,4.5414,10930.0,5247.0,0.744,4.609,69.6,289.0058,47.040421,FALSE POSITIVE,kepler
10068659,11.47685263,2.756,240.6,5550.0,1.032,4.384,16.5,289.13467,47.062988,CONFIRMED,kepler
10068919,43.56225858,3.6873,51325.0,6411.0,1.216,4.307,163.6,289.26416,47.005989,FALSE POSITIVE,kepler
1007.01,6.9989206,3.953,2840.0,6596.0,2.7,3.71,1282.0,112.752393,-4.463359,CANDIDATE,tess
10070468,1.68189051,2.992,83.2,5827.0,1.374,4.191,17.4,289.95651,47.02039,CONFIRMED,kepler
10070479,1.758599866,0.2729,237.8,4744.0,0.725,4.606,11.9,289.96161,47.08036,CANDIDATE,kepler
10073672,2.252976718,1.7131,467.9,4039.0,0.559,4.708,21.7,291.23148,47.033932,CANDIDATE,kepler
10074466,35.01190875,2.868,436.7,5872.0,1.153,4.332,34.0,291.53439,47.0425,CONFIRMED,kepler
10074700,365.620697,32.263,27188.0,5273.0,0.768,4.531,671.1,291.62619,47.08123,FALSE POSITIVE,kepler
10075409,360.33012,15.16,1022.0,5054.0,0.74,4.606,12.2,291.90503,47.094929,FALSE POSITIVE,kepler
